MKey,AircraftNumber,Category,Subcategory,Section,Subsection,ModifierName
95873,1,Personnel issues,Task performance,Planning/preparation,Fuel planning,Pilot
95875,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Directional control,Not attained/maintained
95875,1,Environmental issues,Physical environment,Object/animal/substance,Airport structure,Contributed to outcome
95875,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Student/instructed pilot
95876,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Directional control,Not attained/maintained
95876,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
95878,1,Environmental issues,Conditions/weather/phenomena,Wind,Tailwind,Effect on operation
95878,1,Environmental issues,Conditions/weather/phenomena,Temp/humidity/pressure,High density altitude,Effect on operation
95878,1,Personnel issues,Experience/knowledge,Experience/qualifications,Total experience,Pilot
95878,1,Personnel issues,Experience/knowledge,Training,Training with equipment,Pilot
95878,1,Personnel issues,Experience/knowledge,Experience/qualifications,Qualification/certification,Pilot
95878,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
95880,1,Aircraft,Fluids/misc hardware,Fluids,(general),Fluid level
95880,1,Aircraft,Aircraft systems,Landing gear system,Master cylinder/brake valve,Malfunction
95880,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Directional control,Attain/maintain not possible
95882,1,Environmental issues,Conditions/weather/phenomena,Wind,Crosswind,Effect on operation
95882,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,(general),Not attained/maintained
95882,1,Personnel issues,Action/decision,Action,Delayed action,Instructor/check pilot
95882,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Student/instructed pilot
95883,1,Aircraft,Aircraft power plant,Engine (reciprocating),(general),Incorrect service/maintenance
95883,1,Personnel issues,Task performance,Maintenance,(general),Maintenance personnel
95883,1,Aircraft,Aircraft power plant,Ignition system,Spark plugs/igniters,Fatigue/wear/corrosion
95883,1,Aircraft,Aircraft systems,Fuel system,(general),Damaged/degraded
95884,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
95884,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Directional control,Not attained/maintained
95887,1,Aircraft,Aircraft systems,Flight control system,Rudder control system,Damaged/degraded
95887,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Directional control,Attain/maintain not possible
95888,1,Aircraft,Aircraft power plant,Power plant,(general),Unknown/Not determined
95888,1,Not determined,Not determined,(general),(general),Unknown/Not determined
95889,1,Environmental issues,Conditions/weather/phenomena,Light condition,Dark,Effect on operation
95889,1,Environmental issues,Conditions/weather/phenomena,Ceiling/visibility/precip,Below VFR minima,Effect on operation
95889,1,Personnel issues,Psychological,Perception/orientation/illusion,Spatial disorientation,Pilot
95889,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
95889,1,Environmental issues,Conditions/weather/phenomena,Light condition,Dark,Decision related to condition
95890,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Student/instructed pilot
95890,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Lateral/bank control,Not attained/maintained
95891,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
95891,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Directional control,Not attained/maintained
95891,1,Environmental issues,Physical environment,Object/animal/substance,(general),Contributed to outcome
95892,1,Not determined,Not determined,(general),(general),Unknown/Not determined
95894,1,Aircraft,Aircraft systems,Fire protection system,"Fire bottle, portable",Not serviced/maintained
95894,1,Aircraft,Aircraft power plant,Engine fuel and control,Fuel control/carburetor,Incorrect use/operation
95894,1,Personnel issues,Task performance,Use of equip/info,Use of equip/system,Student/instructed pilot
95894,1,Personnel issues,Psychological,Attention/monitoring,Monitoring other person,Instructor/check pilot
95896,1,Personnel issues,Task performance,Maintenance,Scheduled/routine maintenance,Maintenance personnel
95896,1,Aircraft,Aircraft handling/service,Maintenance/inspections,(general),Incorrect service/maintenance
95898,1,Aircraft,Aircraft power plant,Engine (reciprocating),Recip eng cyl section,Fatigue/wear/corrosion
95899,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Directional control,Not attained/maintained
95899,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
95900,1,Environmental issues,Physical environment,Object/animal/substance,Tree(s),Contributed to outcome
95900,1,Personnel issues,Task performance,Maintenance,Installation,Maintenance personnel
95900,1,Aircraft,Aircraft power plant,Engine (reciprocating),Recip eng cyl section,Incorrect service/maintenance
95900,1,Environmental issues,Operating environment,Air traffic/operating proc,(general),Contributed to outcome
95900,1,Organizational issues,Management,Policy/procedure,Adequacy of policy/proc,FAA/Regulator
95902,1,Environmental issues,Physical environment,Terrain,Rough terrain,Contributed to outcome
95902,1,Environmental issues,Conditions/weather/phenomena,Wind,(general),Effect on operation
95902,1,Aircraft,Fluids/misc hardware,Fluids,Fuel,Fluid level
95902,1,Personnel issues,Task performance,Planning/preparation,Fuel planning,Pilot
95903,1,Personnel issues,Action/decision,Info processing/decision,Decision making/judgment,Pilot
95903,1,Personnel issues,Action/decision,Action,Lack of action,Pilot
95903,1,Aircraft,Aircraft systems,Ice/rain protection system,"Intake anti-ice, deice",Not used/operated
95903,1,Environmental issues,Conditions/weather/phenomena,Temp/humidity/pressure,Conducive to carburetor icing,Effect on equipment
95903,1,Environmental issues,Physical environment,Object/animal/substance,Tree(s),Contributed to outcome
95905,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
95905,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Directional control,Not attained/maintained
95907,1,Personnel issues,Action/decision,(general),(general),Pilot
95907,1,Aircraft,Aircraft systems,Fuel system,Fuel selector/shutoff valve,Fatigue/wear/corrosion
95907,1,Aircraft,Fluids/misc hardware,Fluids,Fuel,Fluid management
95907,1,Personnel issues,Task performance,Use of equip/info,Use of equip/system,Pilot
95910,1,Aircraft,Aircraft systems,Landing gear system,Main gear strut/axle/truck,Fatigue/wear/corrosion
95910,1,Aircraft,Aircraft systems,Landing gear system,Main gear strut/axle/truck,Failure
95911,1,Personnel issues,Task performance,Planning/preparation,Fuel planning,Pilot
95911,1,Aircraft,Fluids/misc hardware,Fluids,Fuel,Fluid level
95912,1,Aircraft,Aircraft propeller/rotor,Propeller system,Propeller assembly,Failure
95912,1,Aircraft,Aircraft propeller/rotor,Propeller system,Propeller assembly,Fatigue/wear/corrosion
95912,1,Personnel issues,Task performance,Maintenance,Installation,Maintenance personnel
95913,1,Not determined,Not determined,(general),(general),Unknown/Not determined
95914,1,Not determined,Not determined,(general),(general),Unknown/Not determined
95915,1,Not determined,Not determined,(general),(general),Unknown/Not determined
95920,1,Personnel issues,Task performance,Use of equip/info,Use of checklist,Pilot
95920,1,Aircraft,Aircraft systems,Landing gear system,Landing gear brakes system,Failure
95920,1,Personnel issues,Action/decision,Action,Forgotten action/omission,Pilot
95921,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Instructor/check pilot
95921,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Angle of attack,Capability exceeded
95921,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Airspeed,Not attained/maintained
95921,1,Environmental issues,Conditions/weather/phenomena,Wind,Gusts,Effect on operation
95921,1,Environmental issues,Conditions/weather/phenomena,Wind,Crosswind,Effect on operation
95922,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Yaw control,Not attained/maintained
95922,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Student/instructed pilot
95922,1,Personnel issues,Action/decision,Action,Delayed action,Instructor/check pilot
95924,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
95924,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Directional control,Not attained/maintained
95924,1,Environmental issues,Physical environment,Terrain,Sloped/uneven terrain,Effect on operation
95925,1,Aircraft,Fluids/misc hardware,Fluids,Fuel,Fluid level
95925,1,Personnel issues,Action/decision,Info processing/decision,Decision making/judgment,Pilot
95925,1,Environmental issues,Physical environment,Object/animal/substance,Wire,Contributed to outcome
95925,1,Aircraft,Fluids/misc hardware,Fluids,Fuel,Fluid management
95925,1,Personnel issues,Task performance,Planning/preparation,Fuel planning,Pilot
95928,1,Not determined,Not determined,(general),(general),Unknown/Not determined
95929,1,Aircraft,Aircraft structures,Doors,Passenger/crew doors,Incorrect use/operation
95929,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
95929,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Pitch control,Not attained/maintained
95929,1,Personnel issues,Action/decision,Action,Incomplete action,Pilot
95930,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Heading/course,Incorrect use/operation
95930,1,Environmental issues,Physical environment,Terrain,Mountainous/hilly terrain,Effect on operation
95930,1,Environmental issues,Physical environment,Terrain,Mountainous/hilly terrain,Decision related to condition
95930,1,Environmental issues,Physical environment,Terrain,Mountainous/hilly terrain,Awareness of condition
95930,1,Environmental issues,Physical environment,Terrain,Mountainous/hilly terrain,Ability to respond/compensate
95930,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Airspeed,Not attained/maintained
95930,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
95930,1,Personnel issues,Action/decision,Info processing/decision,Decision making/judgment,Pilot
95930,1,Personnel issues,Task performance,Use of equip/info,Use of equip/system,Pilot
95930,1,Personnel issues,Task performance,Planning/preparation,Performance calculations,Pilot
95930,1,Personnel issues,Task performance,Planning/preparation,Flight planning/navigation,Pilot
95930,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Lateral/bank control,Not attained/maintained
95931,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
95931,1,Environmental issues,Conditions/weather/phenomena,Temp/humidity/pressure,High density altitude,Effect on operation
95931,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Landing flare,Not attained/maintained
95931,1,Environmental issues,Conditions/weather/phenomena,Temp/humidity/pressure,High temperature,Effect on operation
95932,1,Environmental issues,Physical environment,Object/animal/substance,Sign/marker,Contributed to outcome
95932,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Student/instructed pilot
95932,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Landing flare,Not attained/maintained
95932,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Directional control,Not attained/maintained
95933,1,Personnel issues,Action/decision,Info processing/decision,Decision making/judgment,Pilot
95933,1,Personnel issues,Experience/knowledge,Experience/qualifications,Total instrument experience,Pilot
95933,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Altitude,Not attained/maintained
95933,1,Environmental issues,Conditions/weather/phenomena,Ceiling/visibility/precip,Below VFR minima,Effect on operation
95933,1,Environmental issues,Physical environment,Terrain,Mountainous/hilly terrain,Contributed to outcome
95933,1,Personnel issues,Task performance,Planning/preparation,Weather planning,Pilot
95934,1,Not determined,Not determined,(general),(general),Unknown/Not determined
95934,1,Environmental issues,Physical environment,Object/animal/substance,(general),Contributed to outcome
95936,1,Environmental issues,Conditions/weather/phenomena,Wind,Tailwind,Response/compensation
95936,1,Environmental issues,Conditions/weather/phenomena,Wind,Tailwind,Effect on operation
95936,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
95936,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Powerplant parameters,Not attained/maintained
95937,1,Personnel issues,Action/decision,Info processing/decision,Decision making/judgment,Pilot
95937,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
95937,1,Environmental issues,Physical environment,Terrain,Water,Contributed to outcome
95937,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Descent/approach/glide path,Not attained/maintained
95938,1,Personnel issues,Task performance,Maintenance,Replacement,Maintenance personnel
95938,1,Aircraft,Aircraft power plant,Engine (reciprocating),Recip eng cyl section,Incorrect service/maintenance
95938,1,Aircraft,Aircraft power plant,Engine (reciprocating),Recip engine power section,Damaged/degraded
95941,1,Personnel issues,Action/decision,(general),(general),Pilot
95941,1,Aircraft,Fluids/misc hardware,Fluids,Fuel,Fluid level
95943,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
95943,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Climb rate,Not attained/maintained
95943,1,Environmental issues,Conditions/weather/phenomena,Temp/humidity/pressure,High density altitude,Effect on equipment
95943,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Directional control,Not attained/maintained
95944,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
95944,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Lateral/bank control,Not attained/maintained
95949,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
95949,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Pitch control,Incorrect use/operation
95949,1,Personnel issues,Action/decision,Info processing/decision,Decision making/judgment,Pilot
95949,1,Environmental issues,Physical environment,Runway/land/takeoff/taxi surface,Soft surface,Contributed to outcome
95951,1,Personnel issues,Task performance,Planning/preparation,Weight/balance calculations,Pilot
95951,1,Personnel issues,Task performance,Planning/preparation,Performance calculations,Pilot
95951,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
95951,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Angle of attack,Not attained/maintained
95952,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
95955,1,Not determined,Not determined,(general),(general),Unknown/Not determined
95956,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
95956,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Descent/approach/glide path,Incorrect use/operation
95956,1,Environmental issues,Physical environment,Object/animal/substance,Tree(s),Effect on operation
95958,1,Personnel issues,Miscellaneous,(general),(general),Passenger
95959,1,Not determined,Not determined,(general),(general),Unknown/Not determined
95959,1,Aircraft,Aircraft systems,Landing gear system,Landing gear actuator,Damaged/degraded
95961,1,Personnel issues,Experience/knowledge,Experience/qualifications,Total experience w/ equipment,Pilot
95961,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
95962,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
95962,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Descent/approach/glide path,Not attained/maintained
95962,1,Environmental issues,Physical environment,Runway/land/takeoff/taxi surface,(general),Effect on operation
95964,1,Personnel issues,Psychological,Perception/orientation/illusion,Spatial disorientation,Pilot
95964,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
95964,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,(general),Not attained/maintained
95964,1,Environmental issues,Conditions/weather/phenomena,Convective weather,Thunderstorm,Effect on operation
95964,1,Environmental issues,Conditions/weather/phenomena,Ceiling/visibility/precip,Clouds,Contributed to outcome
95965,1,Not determined,Not determined,(general),(general),Unknown/Not determined
95968,1,Aircraft,Aircraft power plant,Engine controls,Power lever,Failure
95968,1,Personnel issues,Task performance,Maintenance,Scheduled/routine maintenance,Maintenance personnel
95968,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
95968,1,Personnel issues,Action/decision,Info processing/decision,Decision making/judgment,Pilot
95968,1,Aircraft,Aircraft propeller/rotor,Main rotor system,Main rotor blade system,Incorrect use/operation
95968,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Descent/approach/glide path,Not attained/maintained
95968,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Descent rate,Not attained/maintained
95972,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
95972,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Angle of attack,Not attained/maintained
95972,1,Personnel issues,Experience/knowledge,Experience/qualifications,Total experience w/ equipment,Pilot
95972,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Airspeed,Not attained/maintained
95973,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Altitude,Not attained/maintained
95973,1,Aircraft,Aircraft oper/perf/capability,(general),(general),Not attained/maintained
95973,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
95974,1,Environmental issues,Conditions/weather/phenomena,Wind,Gusts,Effect on operation
95974,1,Environmental issues,Physical environment,Object/animal/substance,Tree(s),Contributed to outcome
95974,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Directional control,Not attained/maintained
95974,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
95975,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Directional control,Not attained/maintained
95975,1,Environmental issues,Physical environment,Object/animal/substance,Ground vehicle,Contributed to outcome
95975,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
95976,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Surface speed/braking,Capability exceeded
95976,1,Aircraft,Aircraft systems,Landing gear system,Brake,Incorrect use/operation
95976,1,Personnel issues,Task performance,Use of equip/info,Use of equip/system,Pilot
95977,1,Environmental issues,Physical environment,Runway/land/takeoff/taxi surface,Wet surface,Ability to respond/compensate
95977,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
95977,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Descent/approach/glide path,Incorrect use/operation
95977,1,Personnel issues,Action/decision,Info processing/decision,Decision making/judgment,Pilot
95979,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Altitude,Attain/maintain not possible
95979,1,Environmental issues,Conditions/weather/phenomena,Wind,Tailwind,Decision related to condition
95979,1,Environmental issues,Conditions/weather/phenomena,Wind,Crosswind,Decision related to condition
95979,1,Environmental issues,Conditions/weather/phenomena,Wind,Gusts,Decision related to condition
95979,1,Environmental issues,Conditions/weather/phenomena,Temp/humidity/pressure,High density altitude,Decision related to condition
95979,1,Environmental issues,Physical environment,Object/animal/substance,Tree(s),Contributed to outcome
95979,1,Personnel issues,Action/decision,Info processing/decision,Decision making/judgment,Pilot
95982,1,Aircraft,Aircraft systems,Flight control system,Aileron control system,Fatigue/wear/corrosion
95983,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Student/instructed pilot
95983,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Directional control,Not attained/maintained
95983,1,Environmental issues,Conditions/weather/phenomena,Wind,Crosswind,Effect on operation
95983,1,Environmental issues,Physical environment,Terrain,(general),Contributed to outcome
95983,1,Environmental issues,Conditions/weather/phenomena,Wind,Gusts,Effect on operation
95985,1,Environmental issues,Conditions/weather/phenomena,Wind,Tailwind,Effect on equipment
95985,1,Environmental issues,Conditions/weather/phenomena,Temp/humidity/pressure,High temperature,Effect on equipment
95985,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Descent/approach/glide path,Attain/maintain not possible
95985,1,Organizational issues,Management,Culture,Standard operating practices,Operator
95985,1,Organizational issues,Support/oversight/monitoring,Oversight,Oversight of operation,Operator
95986,1,Environmental issues,Conditions/weather/phenomena,Light condition,Glare,Effect on personnel
95986,1,Environmental issues,Physical environment,Object/animal/substance,(general),Effect on operation
95986,1,Personnel issues,Psychological,Attention/monitoring,Monitoring environment,Pilot
95986,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Altitude,Not attained/maintained
95987,1,Aircraft,Aircraft systems,Fuel system,Fuel storage,Inadequate inspection
95987,1,Aircraft,Fluids/misc hardware,Fluids,Fuel,Fluid level
95987,1,Environmental issues,Physical environment,Object/animal/substance,Pole,Contributed to outcome
95987,1,Personnel issues,Task performance,Inspection,Preflight inspection,Pilot
95988,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Altitude,Not attained/maintained
95988,1,Personnel issues,Psychological,Attention/monitoring,Monitoring environment,Pilot
95988,1,Environmental issues,Physical environment,Object/animal/substance,Wire,Effect on equipment
95988,1,Environmental issues,Physical environment,Object/animal/substance,Wire,Awareness of condition
95989,1,Environmental issues,Physical environment,Object/animal/substance,Tree(s),Effect on operation
95989,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
95989,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,(general),Not attained/maintained
95990,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Landing flare,Incorrect use/operation
95990,1,Personnel issues,Experience/knowledge,Experience/qualifications,Total experience w/ equipment,Pilot
95990,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
95992,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Lateral/bank control,Design
95992,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Directional control,Attain/maintain not possible
95992,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
95993,1,Personnel issues,Action/decision,Info processing/decision,Decision making/judgment,Pilot
95993,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Descent/approach/glide path,Incorrect use/operation
95993,1,Environmental issues,Conditions/weather/phenomena,Wind,Tailwind,Decision related to condition
95995,1,Aircraft,Fluids/misc hardware,Misc hardware,(general),Incorrect use/operation
95995,1,Personnel issues,Task performance,Use of equip/info,Use of equip/system,Pilot
95995,1,Aircraft,Fluids/misc hardware,Fluids,Fuel,Fluid level
95995,1,Aircraft,Aircraft systems,Fuel system,(general),Incorrect use/operation
95996,1,Environmental issues,Physical environment,Object/animal/substance,Animal(s)/bird(s),Ability to respond/compensate
95997,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Descent rate,Not attained/maintained
95997,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Instructor/check pilot
95998,1,Personnel issues,Task performance,Inspection,Preflight inspection,Pilot
95998,1,Aircraft,Aircraft propeller/rotor,Propeller system,Propeller blade section,Failure
95998,1,Aircraft,Aircraft propeller/rotor,Propeller system,Propeller blade section,Fatigue/wear/corrosion
95999,1,Environmental issues,Conditions/weather/phenomena,Wind,Gusts,Effect on operation
95999,1,Environmental issues,Conditions/weather/phenomena,Turbulence,Convective turbulence,Effect on operation
95999,1,Not determined,Not determined,(general),(general),Unknown/Not determined
95999,1,Aircraft,Aircraft oper/perf/capability,Aircraft capability,Climb capability,Attain/maintain not possible
96009,1,Personnel issues,Action/decision,Info processing/decision,Decision making/judgment,Pilot
96009,1,Aircraft,Aircraft systems,Landing gear system,Landing gear steering system,Incorrect service/maintenance
96010,1,Environmental issues,Physical environment,Terrain,Sloped/uneven terrain,Contributed to outcome
96010,1,Environmental issues,Physical environment,Runway/land/takeoff/taxi surface,Soft surface,Effect on operation
96010,1,Environmental issues,Conditions/weather/phenomena,Wind,Tailwind,Effect on operation
96010,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
96010,1,Personnel issues,Action/decision,Info processing/decision,Decision making/judgment,Pilot
96010,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Descent/approach/glide path,Not attained/maintained
96013,1,Aircraft,Aircraft handling/service,Maintenance/inspections,Scheduled maint checks,Not inspected
96013,1,Aircraft,Aircraft handling/service,Maintenance/inspections,Time limits,Not inspected
96013,1,Aircraft,Aircraft systems,Landing gear system,Gear extension and retract sys,Failure
96014,1,Aircraft,Aircraft power plant,Engine (reciprocating),(general),Fatigue/wear/corrosion
96015,1,Environmental issues,Conditions/weather/phenomena,Temp/humidity/pressure,Conducive to carburetor icing,Effect on equipment
96015,1,Personnel issues,Action/decision,Action,Delayed action,Pilot
96017,1,Aircraft,Aircraft power plant,Engine (turbine/turboprop),(general),Failure
96017,1,Aircraft,Aircraft power plant,Power plant,(general),Incorrect service/maintenance
96019,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
96019,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Landing flare,Not attained/maintained
96020,1,Personnel issues,Task performance,Use of equip/info,(general),Ground crew
96020,1,Aircraft,Fluids/misc hardware,Misc hardware,(general),Incorrect use/operation
96021,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
96021,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Landing flare,Not attained/maintained
96022,1,Personnel issues,Task performance,Inspection,Post maintenance inspection,Other
96022,1,Aircraft,Aircraft systems,Fuel system,Fuel selector/shutoff valve,Damaged/degraded
96022,1,Aircraft,Fluids/misc hardware,Fluids,Fuel,Fluid management
96022,1,Aircraft,Aircraft systems,Fuel system,Fuel selector/shutoff valve,Incorrect use/operation
96022,1,Personnel issues,Action/decision,Info processing/decision,Decision making/judgment,Pilot
96022,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Altitude,Not specified
96022,1,Personnel issues,Task performance,Maintenance,(general),Other
96023,1,Personnel issues,Task performance,Planning/preparation,Weather planning,Pilot
96023,1,Personnel issues,Action/decision,Info processing/decision,Decision making/judgment,Pilot
96023,1,Environmental issues,Conditions/weather/phenomena,Ceiling/visibility/precip,(general),Contributed to outcome
96023,1,Personnel issues,Psychological,Perception/orientation/illusion,Spatial disorientation,Pilot
96023,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,(general),Not attained/maintained
96023,1,Personnel issues,Experience/knowledge,Experience/qualifications,Recent instrument experience,Pilot
96024,1,Personnel issues,Psychological,Attention/monitoring,Attention,Pilot
96024,1,Personnel issues,Psychological,Attention/monitoring,Task monitoring/vigilance,Pilot
96024,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Altitude,Not attained/maintained
96026,1,Aircraft,Fluids/misc hardware,Fluids,Fuel,Fluid level
96026,1,Personnel issues,Action/decision,Info processing/decision,Decision making/judgment,Pilot
96026,1,Personnel issues,Task performance,Inspection,Preflight inspection,Pilot
96026,1,Aircraft,Aircraft systems,Fuel system,Fuel quantity indicator,Inoperative
96026,1,Aircraft,Aircraft systems,Fuel system,Fuel storage,Damaged/degraded
96027,1,Environmental issues,Conditions/weather/phenomena,Wind,Gusts,Effect on operation
96027,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Directional control,Not attained/maintained
96027,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
96029,1,Personnel issues,Psychological,Attention/monitoring,Monitoring environment,Pilot
96029,1,Environmental issues,Physical environment,Object/animal/substance,Wire,Contributed to outcome
96031,1,Not determined,Not determined,(general),(general),Unknown/Not determined
96031,1,Environmental issues,Physical environment,Object/animal/substance,(general),Contributed to outcome
96032,1,Personnel issues,Task performance,Use of equip/info,Use of equip/system,Pilot
96032,1,Environmental issues,Conditions/weather/phenomena,Temp/humidity/pressure,Conducive to carburetor icing,Effect on operation
96032,1,Aircraft,Aircraft systems,Ice/rain protection system,"Intake anti-ice, deice",Not used/operated
96033,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Descent/approach/glide path,Incorrect use/operation
96033,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
96033,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Angle of attack,Capability exceeded
96033,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Airspeed,Incorrect use/operation
96033,1,Environmental issues,Physical environment,Terrain,Mountainous/hilly terrain,Contributed to outcome
96034,1,Environmental issues,Physical environment,Object/animal/substance,Animal(s)/bird(s),Ability to respond/compensate
96035,1,Aircraft,Fluids/misc hardware,Fluids,Fuel,Fluid level
96035,1,Aircraft,Fluids/misc hardware,Fluids,Fuel,Fluid management
96035,1,Personnel issues,Task performance,Use of equip/info,Use of equip/system,Pilot
96036,1,Personnel issues,Task performance,Use of equip/info,Aircraft control,Pilot
96036,1,Aircraft,Aircraft oper/perf/capability,Performance/control parameters,Lateral/bank control,Not attained/maintained
96037,1,Environmental issues,Physical environment,Object/animal/substance,Aircraft,Effect on operation
96037,2,Personnel issues,Psychological,Attention/monitoring,Monitoring environment,Pilot of other aircraft
96037,2,Environmental issues,Physical environment,Object/animal/substance,Aircraft,Effect on operation
96037,1,Personnel issues,Psychological,Attention/monitoring,Monitoring environment,Pilot
