MKey,NTSBNumber,Report,EventDate,City,StateOrRegion,Country,Latitude,Longitude,FatalInjuries,SeriousInjuries,InjuryLevel
102247,ANC21LA006,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102247/pdf,11/6/2020,Hilo,Hawaii,United States,27.5937,-139.6529,,,Non-Fatal
102248,CEN21LA044,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102248/pdf,11/7/2020,Dunn Center,North Dakota,United States,47.227222,-102.51666,1,,Fatal
102249,CEN21LA045,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102249/pdf,11/5/2020,Edgard,Louisiana,United States,30.034,-90.554,,,Non-Fatal
102251,ERA21LA039,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102251/pdf,11/6/2020,Winder,Georgia,United States,33.98269,-83.667217,0,0,Non-Fatal
102252,WPR21LA040,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102252/pdf,11/7/2020,Clayton,California,United States,37.839997,-121.87482,,2,Non-Fatal
102253,ERA21LA040,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102253/pdf,11/8/2020,Raleigh,North Carolina,United States,35.732111,-78.628722,,,Non-Fatal
102254,CEN21LA046,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102254/pdf,11/5/2020,Fremont,Michigan,United States,43.435343,-85.99581,,,Non-Fatal
102256,CEN21LA047,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102256/pdf,11/7/2020,Ardmore,Oklahoma,United States,34.127751,-97.063227,,1,Non-Fatal
102257,WPR21LA042,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102257/pdf,11/9/2020,Mesa,Arizona,United States,33.460841,-111.72832,0,0,Non-Fatal
102260,CEN21LA048,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102260/pdf,11/6/2020,Greenville,Michigan,United States,43.142139,-85.253861,,,Non-Fatal
102262,CEN21LA049,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102262/pdf,11/8/2020,Circleville,Ohio,United States,39.524079,-82.981683,,,Non-Fatal
102263,ERA21LA041,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102263/pdf,11/9/2020,Laconia,New Hampshire,United States,43.576756,-71.403889,,,Non-Fatal
102264,CEN21LA050,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102264/pdf,10/5/2020,San Saba,Texas,United States,31.231591,-98.710907,,,Non-Fatal
102265,CEN21LA051,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102265/pdf,11/6/2020,Denver,Colorado,United States,39.57,-104.849,,,Non-Fatal
102266,WPR21FA044,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102266/pdf,11/10/2020,Grass Valley,California,United States,39.190833,-120.99861,1,,Fatal
102268,WPR21FA045,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102268/pdf,11/11/2020,Langley,Washington,United States,48.017512,-122.43772,2,,Fatal
102271,CEN21LA053,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102271/pdf,11/11/2020,Holden,Missouri,United States,38.707,-94.0058,1,,Fatal
102275,CEN21LA055,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102275/pdf,11/12/2020,Rockwall,Texas,United States,32.936653,-96.436255,2,,Fatal
102277,WPR21FA048,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102277/pdf,11/12/2020,Los Angeles,California,United States,34.259325,-118.41343,1,,Fatal
102278,WPR21LA049,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102278/pdf,11/6/2020,Byron,California,United States,37.823174,-121.62965,,,Non-Fatal
102279,CEN21LA057,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102279/pdf,10/24/2020,Tishomingo,Oklahoma,United States,34.19,-96.6,,,Non-Fatal
102281,CEN21LA058,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102281/pdf,11/8/2020,Waukegan,Illinois,United States,42.42,-87.87,,,Non-Fatal
102283,WPR21LA051,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102283/pdf,11/12/2020,Moab,Utah,United States,38.1988,-109.7063,,,Non-Fatal
102284,WPR21LA052,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102284/pdf,11/11/2020,Fallbrook,California,United States,33.355782,-117.25139,,,Non-Fatal
102285,WPR21LA053,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102285/pdf,11/13/2020,Benson,Arizona,United States,31.999444,-110.35797,,,Non-Fatal
102286,WPR21LA054,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102286/pdf,11/13/2020,Sierra Vista,Arizona,United States,31.588472,-110.34438,,,Non-Fatal
102291,ERA21LA042,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102291/pdf,11/16/2020,Advance,North Carolina,United States,35.903235,-80.471142,,1,Non-Fatal
102292,CEN21WA059,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102292/pdf,10/10/2020,Schwenningen,,Germany,,,,,Non-Fatal
102293,WPR21LA055,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102293/pdf,11/13/2020,San Bernardino,California,United States,34.07504,-117.27141,,,Non-Fatal
102294,CEN21LA060,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102294/pdf,11/12/2020,Salem,Indiana,United States,38.602428,-86.145168,,,Non-Fatal
102297,WPR21LA056,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102297/pdf,11/14/2020,Howe,Idaho,United States,43.930556,-112.93805,,,Non-Fatal
102298,ERA21LA043,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102298/pdf,11/14/2020,Hammonton,New Jersey,United States,39.667286,-74.757861,0,0,Non-Fatal
102299,ANC21LA007,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102299/pdf,11/16/2020,Colton,Oregon,United States,45.05,-122.156,2,,Fatal
102301,ERA21LA044,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102301/pdf,11/14/2020,Ellenville,New York,United States,41.727871,-74.377376,,,Non-Fatal
102302,CEN21LA062,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102302/pdf,11/17/2020,Johnson City,Kansas,United States,37.579722,-101.59972,,,Non-Fatal
102305,CEN21LA064,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102305/pdf,11/19/2020,El Paso,Texas,United States,31.807333,-106.37636,,,Non-Fatal
102306,WPR21FA057,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102306/pdf,11/19/2020,Arlington,Washington,United States,48.2979,-122.1021,1,,Fatal
102309,ERA21LA045,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102309/pdf,11/18/2020,Manville,New Jersey,United States,40.524444,-74.598306,0,0,Non-Fatal
